"filename", "language", "HTML", "TypeScript", "PostCSS", "SCSS", "comment", "blank", "total"
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.html", "HTML", 82, 0, 0, 0, 0, 13, 95
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.spec.ts", "TypeScript", 0, 18, 0, 0, 0, 6, 24
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\my-profile.component.ts", "TypeScript", 0, 70, 0, 0, 0, 11, 81
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\update-user-profile-request.spec.ts", "TypeScript", 0, 6, 0, 0, 0, 2, 8
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\logged-in\my-profile\update-user-profile-request.ts", "TypeScript", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.html", "HTML", 1, 0, 0, 0, 0, 1, 2
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\page-not-found\page-not-found.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.css", "PostCSS", 0, 0, 0, 0, 11, 1, 12
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.html", "HTML", 7, 0, 0, 0, 0, 5, 12
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.spec.ts", "TypeScript", 0, 17, 0, 0, 0, 5, 22
"c:\Users\Gelu\Desktop\Licenta\Aphrodite\Aphrodite\src\app\presentation\about\about.component.ts", "TypeScript", 0, 8, 0, 0, 0, 3, 11
